#$accelx, accely, accelz, gyrox, gyroy, gyroz, magx, magy, magz#

$10,-95,170,-118,55,29,-140,24,-436#

$13,-132,241,-116,60,36,-140,24,-436#

$-8,-151,265,-94,58,28,-140,24,-436#

$0,-137,223,-81,57,30,-140,24,-436#

$9,-104,182,-74,49,24,-140,24,-436#

$3,-97,207,-54,39,33,-140,24,-436#

$10,-141,506,-20,47,33,-127,22,-436#

$-14,-166,262,19,38,35,-127,22,-436#

$-2,-135,193,42,17,37,-127,22,-436#

$-4,-110,185,54,22,31,-127,22,-436#

$-10,-133,245,58,13,28,-127,22,-436#

$-10,-150,248,69,-1,26,-127,22,-436#

$4,-118,193,57,5,22,-127,22,-436#

$8,-80,175,41,16,23,-127,22,-436#

$-8,-85,186,26,1,29,-127,22,-436#

$9,-95,184,-2,23,25,-127,22,-436#

$2,-99,181,-20,49,27,-127,22,-436#

$14,-89,167,-35,40,23,-127,22,-436#

$19,-80,148,-60,39,24,-127,22,-436#

$0,-93,169,-79,51,21,-127,22,-436#

$-12,-118,196,-81,59,22,-127,22,-436#

$11,-134,212,-72,60,29,-127,22,-436#

$3,-125,223,-56,49,24,-127,22,-436#

$3,-123,246,-43,69,28,-127,22,-436#

$-7,-142,275,-12,57,26,-127,22,-436#

$-4,-150,273,29,32,24,-127,22,-436#

$-3,-123,239,43,37,22,-143,19,-433#

$-5,-113,215,61,31,22,-143,19,-433#

$1,-109,213,67,19,26,-143,19,-433#

$4,-101,200,69,13,21,-143,19,-433#

$9,-85,189,64,27,23,-143,19,-433#

$2,-74,184,48,35,27,-143,19,-433#

$6,-65,185,33,34,33,-143,19,-433#

$4,-60,191,7,44,34,-143,19,-433#

$7,-65,198,-16,49,35,-143,19,-433#

$8,-76,201,-40,45,39,-143,19,-433#

$5,-88,199,-52,51,36,-143,19,-433#

$0,-100,203,-64,59,35,-143,19,-433#

$-2,-121,200,-71,59,32,-143,19,-433#

$-7,-130,205,-69,54,33,-143,19,-433#

$-6,-142,207,-53,51,25,-143,19,-433#

$-16,-175,196,-37,44,18,-143,19,-433#

$-22,-187,143,-26,38,17,-143,19,-433#

$-25,-177,165,-45,37,23,-143,19,-433#

$-20,-175,170,-25,28,20,-143,19,-433#

$-12,-172,161,-23,29,24,-143,19,-433#

$-9,-153,174,-44,42,28,-138,18,-453#

$-12,-147,199,-23,44,31,-138,18,-453#

$-12,-160,236,-18,40,30,-138,18,-453#

$-24,-159,256,7,27,28,-138,18,-453#
